shuttle,pdk,project,repo,tt web link,tt app link,ram macro,comment,tested
tt02,sky130A,jar_sram_top,https://github.com/jar/tt02_sram,https://tinytapeout.com/chips/tt02/jar_sram_top,-,-,synthesized from stdcells,?
tt03p5,sky130A,tt_um_urish_sram_poc,https://github.com/TinyTapeout/tt03p5-sram-poc,https://tinytapeout.com/chips/tt03p5/tt_um_urish_sram_poc,-,sky130_sram_2kbyte_1rw1r_32x512_8,openram (macro outside tile area),?
tt03p5,sky130A,tt_um_urish_dffram,https://github.com/TinyTapeout/tt03p5-dffram,https://tinytapeout.com/chips/tt03p5/tt_um_urish_dffram,-,RAM32,dffram,?
tt05,sky130A,tt_um_urish_dffram,https://github.com/TinyTapeout/tt05-dffram-example,https://tinytapeout.com/chips/tt05/tt_um_urish_dffram,https://app.tinytapeout.com/projects/219,RAM32,dffram,"✅ urish, MichaelBell"
tt06,sky130A,tt_um_urish_dffram,https://github.com/TinyTapeout/tt06-dffram-example,https://tinytapeout.com/chips/tt06/tt_um_urish_dffram,https://app.tinytapeout.com/projects/441,RAM32,dffram,-
tt06,sky130A,tt_um_lisa,https://github.com/kdp1965/tt06-um-lisa,https://tinytapeout.com/chips/tt06/tt_um_lisa,https://app.tinytapeout.com/projects/530,RAM32,dffram,✅ kdp1965
tt06,sky130A,tt_um_ram,https://github.com/asilvaj1/tt06-submission_silva_ram,https://tinytapeout.com/chips/tt06/tt_um_ram,https://app.tinytapeout.com/projects/617,-,synthesized from stdcells,-
tt07,sky130A,tt_um_urish_spell,https://github.com/urish/tt07-spell,https://tinytapeout.com/chips/tt07/tt_um_urish_spell,https://app.tinytapeout.com/projects/733,RAM32 (2 instances),dffram,"✅ urish, MichaelBell"
tt07,sky130A,tt_um_lisa,https://github.com/kdp1965/tt07-um-lisa-ttlc,https://tinytapeout.com/chips/tt07/tt_um_lisa,https://app.tinytapeout.com/projects/747,RAM32,dffram,-
tt07,sky130A,tt_um_8bit_vector_compute_in_SRAM,https://github.com/ramyadhadidi/tt07-8bit-vector-compute-in-SRAM,https://tinytapeout.com/chips/tt07/tt_um_8bit_vector_compute_in_SRAM,https://app.tinytapeout.com/projects/722,-,synthesized from stdcells,-
ttihp0p2,ihp-sg13g2,tt_um_urish_sram_test,https://github.com/urish/ttihp-sram-test,https://tinytapeout.com/chips/ttihp0p2/tt_um_urish_sram_test,https://app.tinytapeout.com/projects/1077,RM_IHPSG13_1P_1024x8_c2_bm_bist,ihp foundry sram,✅ mattvenn
tt09,sky130A,tt_um_kmakise_sram,https://github.com/FriedrichWu/tt09-sram,https://tinytapeout.com/chips/tt09/tt_um_kmakise_sram,https://app.tinytapeout.com/projects/1090,myconfig_sky_dual,openram 32x16,✅ smunaut
tt09,sky130A,tt_um_dlmiles_dffram32x8_2r1w,https://github.com/dlmiles/tt09-dffram-2r1w,https://tinytapeout.com/chips/tt09/tt_um_dlmiles_dffram32x8_2r1w,https://app.tinytapeout.com/projects/1370,-,synthesized from stdcells,-
ttcad25a,sky130A,tt_um_tnt_rf_yolo_test,https://github.com/smunaut/ttcad25a-rf-yolo-test,https://tinytapeout.com/chips/ttcad25a/tt_um_tnt_rf_yolo_test,https://app.tinytapeout.com/projects/2562,tt_um_tnt_rf_yolo_test,Sylvain’s register file,-
ttihp25a,ihp-sg13g2,tt_um_dlmiles_dffram32x8_2r1w,https://github.com/dlmiles/tt09-dffram-2r1w,https://tinytapeout.com/chips/ttihp25a/tt_um_dlmiles_dffram32x8_2r1w,https://app.tinytapeout.com/projects/1830,-,synthesized from stdcells,-
ttsky25a,sky130A,tt_um_openram_top,https://github.com/VLSIDA/tt25a_openram_testchip,https://tinytapeout.com/chips/ttsky25a/tt_um_openram_top,https://app.tinytapeout.com/projects/2830,sky130_sram_1rw_tiny,openram,-
